"MATCH_ID","SEASON_ID","SEASON_MATCH","PLAY_OFF_ID","DATE_ID","REFEREE_ID","TV_UMPIRE_ID","UMPIRE_ID1","UMPIRE_ID2","TEAM_A_ID","TEAM_B_ID","VENUE_ID","MATCH_TYPE_ID","TOTAL_OVERS","BALLS_PER_OVER","OVERS_PLAYED_BY_TEAM_A","BOWLS_PLAYED_BY_TEAM_A","EXTRA_BOWLS_PLAYED_BY_TEAM_A","EXTRA_RUNS_SCORED_BY_TEAM_A","FOURS_BY_TEAM_A","SIXES_BY_TEAM_A","TOTAL_SCORE_BY_TEAM_A","WICKET_LOST_BY_TEAM_A","OVERS_PLAYED_BY_TEAM_B","BOWLS_PLAYED_BY_TEAM_B","EXTRA_BOWLS_PLAYED_BY_TEAM_B","EXTRA_RUNS_SCORED_BY_TEAM_B","FOURS_BY_TEAM_B","SIXES_BY_TEAM_B","TOTAL_SCORE_BY_TEAM_B","WICKET_LOST_BY_TEAM_B","TOSS_WINNER_TEAM_ID","TOSS_DECISION","MATCH_RESULT","WINNER_TEAM_ID"
4,1,4,3,3,3,4,3,8,9,2,11,1,20,6,18,122,28,28,5,4,112,5,18,118,10,10,7,6,110,10,2,"Bat","Result Declared",9
19,1,19,3,14,4,51,53,63,2,7,28,1,20,6,19,122,4,4,19,3,164,8,18,117,6,6,21,2,167,3,7,"Field","Result Declared",7
20,1,20,3,15,2,50,3,8,1,4,19,1,20,6,19,126,7,7,17,5,169,6,18,118,6,6,16,5,172,2,1,"Bat","Result Declared",4
21,1,21,3,16,4,13,53,9,17,2,18,1,20,6,19,122,5,5,15,4,156,8,19,122,6,6,15,5,153,6,2,"Field","Result Declared",17
24,1,24,3,17,3,26,1,6,14,1,31,1,20,6,14,93,21,21,10,2,110,2,18,116,7,7,12,1,109,10,1,"Bat","Result Declared",14
37,1,37,3,28,5,4,7,40,4,2,12,1,20,6,19,125,8,8,18,6,194,4,19,122,3,3,16,9,182,9,2,"Field","Result Declared",4
56,1,\\N,6,43,1,15,3,25,4,14,39,1,20,6,16,100,7,7,9,1,87,10,19,123,4,4,19,10,192,9,4,"Field","Result Declared",14
60,2,2,3,366,25,12,53,63,17,14,25,1,20,6,19,122,4,4,15,2,133,8,15,99,9,9,1,2,58,10,17,"Bat","Result Declared",17
119,3,4,3,696,6,46,58,13,9,17,11,1,20,6,19,121,6,6,14,3,136,3,19,122,5,5,13,2,135,7,9,"Field","Result Declared",9
127,3,12,3,701,25,1,3,57,2,7,2,1,20,6,19,121,1,1,13,7,170,8,19,122,12,12,18,5,164,8,7,"Field","Result Declared",2
84,2,28,3,381,25,12,25,64,17,11,24,1,20,6,18,116,8,8,14,4,150,1,19,122,6,6,13,3,149,4,11,"Bat","Result Declared",17
85,2,29,3,382,6,13,53,57,1,2,6,1,20,6,19,124,10,10,14,7,178,3,14,91,7,7,6,6,100,10,1,"Bat","Result Declared",1
89,2,33,3,385,2,45,8,5,17,14,37,1,20,6,19,125,5,5,6,3,105,10,14,93,3,3,10,3,107,3,14,"Field","Result Declared",14
108,2,52,3,397,1,19,44,63,17,4,24,1,20,6,18,116,3,3,8,5,135,3,19,123,3,3,8,1,134,7,4,"Bat","Result Declared",17
146,3,31,3,715,26,1,3,57,7,17,27,1,20,6,19,124,11,11,20,3,181,5,19,118,10,10,17,4,184,4,7,"Bat","Result Declared",17
168,3,53,3,730,7,9,7,63,9,14,11,1,20,6,16,104,7,7,17,3,133,2,19,121,3,3,14,2,132,9,14,"Bat","Result Declared",9
171,3,56,3,732,7,2,7,25,9,11,11,1,20,6,17,111,16,16,13,3,135,1,19,122,6,6,12,2,133,8,11,"Bat","Result Declared",9
441,7,43,3,2222,10,49,16,59,19,9,28,1,20,6,19,126,10,10,13,4,142,8,19,118,1,1,13,5,146,3,19,"Bat","Result Declared",9
81,2,25,3,380,2,50,31,7,2,14,35,1,20,6,19,124,7,7,11,5,141,5,19,122,7,7,12,5,142,7,2,"Bat","Result Declared",14
93,2,37,3,387,1,1,26,58,1,14,7,1,20,6,18,116,10,10,14,4,141,3,19,122,7,7,11,5,140,7,14,"Bat","Result Declared",1
122,3,7,3,698,26,12,62,5,17,7,18,1,20,6,18,118,10,10,15,13,204,2,19,130,13,13,20,7,203,3,7,"Bat","Result Declared",17
128,3,13,3,702,7,52,25,63,14,9,29,1,20,6,19,123,8,8,20,2,168,7,19,121,5,5,12,2,134,5,14,"Bat","Result Declared",14
139,3,24,3,710,8,21,55,11,14,1,29,1,20,6,19,122,3,3,15,7,177,8,19,123,6,6,11,6,160,6,14,"Bat","Result Declared",14
143,3,28,3,713,7,2,7,25,1,17,19,1,20,6,18,117,10,10,9,8,162,5,19,124,5,5,16,5,161,4,17,"Bat","Result Declared",1
167,3,52,3,730,25,20,58,11,17,11,18,1,20,6,19,122,5,5,10,3,134,9,19,126,15,15,14,10,191,4,17,"Field","Result Declared",11
178,4,3,3,1087,12,17,58,8,8,17,23,1,20,6,19,124,11,11,13,5,161,5,18,121,13,13,12,7,162,4,8,"Bat","Result Declared",17
220,4,46,3,1113,9,8,1,13,2,4,28,1,20,6,19,125,10,10,18,4,175,5,18,122,10,10,17,7,179,6,4,"Field","Result Declared",4
223,4,49,3,1115,8,21,8,11,11,4,39,1,20,6,19,124,6,6,21,5,178,4,19,126,9,9,20,1,146,10,4,"Field","Result Declared",11
246,4,\\N,1,1133,8,23,1,11,11,9,39,1,20,6,19,117,4,4,18,3,148,6,19,124,6,6,15,3,147,7,11,"Field","Result Declared",11
262,5,14,3,1456,10,7,15,45,7,12,27,1,20,6,17,106,0,0,15,1,116,3,18,119,12,12,10,2,115,10,7,"Field","Result Declared",7
270,5,22,3,1462,8,14,14,61,7,9,27,1,20,6,19,122,3,3,9,1,124,7,16,100,5,5,12,3,127,2,7,"Bat","Result Declared",9
282,5,36,3,1471,1,49,2,32,4,11,12,1,20,6,19,125,9,9,22,9,207,5,19,124,4,4,17,6,170,9,11,"Field","Result Declared",4
345,6,23,3,1826,7,22,2,30,14,11,31,1,20,6,19,128,15,15,17,5,179,3,18,113,7,7,8,0,92,10,14,"Bat","Result Declared",14
367,6,45,3,1841,12,30,57,15,1,7,19,1,20,6,19,122,3,3,14,8,186,4,19,120,3,3,18,5,171,6,1,"Bat","Result Declared",1
372,6,50,3,1844,7,26,30,61,14,12,31,1,20,6,19,122,3,3,20,5,182,5,19,127,11,11,20,5,178,4,12,"Bat","Result Declared",14
379,6,57,3,1849,10,25,16,39,4,17,12,1,20,6,19,125,11,11,23,3,179,7,19,124,5,5,19,6,183,4,4,"Field","Result Declared",17
388,6,66,3,1854,11,49,1,31,11,14,39,1,20,6,19,124,7,7,15,6,166,8,19,124,16,16,15,4,152,7,14,"Field","Result Declared",11
425,7,27,3,2210,7,20,10,39,11,17,39,1,20,6,19,128,25,25,14,8,187,5,19,124,10,10,15,8,168,8,17,"Field","Result Declared",11
587,10,10,3,3282,14,36,20,59,11,19,39,1,20,6,18,113,4,4,16,6,159,6,19,126,11,11,18,3,158,8,11,"Field","Result Declared",11
688,11,52,3,3683,14,55,58,15,4,1,1,1,20,6,19,126,9,9,10,9,162,5,19,120,2,2,6,7,128,6,1,"Field","Result Declared",4
700,12,4,3,3994,15,28,30,46,7,14,31,1,20,6,19,128,16,16,17,7,184,4,19,124,5,5,16,5,170,9,14,"Field","Result Declared",7
702,12,6,3,3996,18,34,54,15,9,7,11,1,20,6,19,124,5,5,14,17,218,4,19,125,6,6,20,7,190,4,7,"Field","Result Declared",9
751,12,55,3,4035,1,28,30,46,1,7,27,1,20,6,19,121,2,2,16,6,170,5,17,113,14,14,14,10,173,4,7,"Field","Result Declared",7
779,13,23,3,4558,18,25,46,30,3,14,33,1,20,6,19,128,19,14,11,11,184,8,19,127,12,10,8,6,138,10,14,"Field","Result Declared",3
248,4,\\N,2,1136,8,21,1,11,1,17,19,1,20,6,19,122,9,9,7,13,205,5,19,122,6,6,11,4,147,8,1,"Bat","Result Declared",1
319,5,\\N,4,1496,7,21,53,11,4,9,36,1,20,6,19,124,14,14,14,3,144,8,19,122,4,4,14,6,162,4,9,"Bat","Result Declared",9
329,6,7,3,1816,13,29,54,10,19,17,28,1,20,6,19,132,17,17,7,3,150,7,19,129,8,8,13,2,145,8,17,"Bat","Tie",20
387,6,65,3,1854,10,25,16,39,9,12,16,1,20,6,19,123,15,15,15,4,163,7,19,121,1,1,11,9,170,4,9,"Field","Result Declared",12
475,8,17,3,2559,9,55,18,33,4,9,12,1,20,6,19,126,13,13,13,5,146,8,18,112,7,7,18,2,147,4,9,"Field","Result Declared",9
27,1,27,3,20,4,7,5,25,11,14,8,1,20,6,15,99,12,12,8,3,104,3,16,103,7,7,9,2,103,10,11,"Field","Result Declared",11
202,4,28,3,1102,26,14,53,45,14,8,31,1,20,6,14,86,2,2,12,3,111,2,19,123,9,9,8,0,109,10,14,"Field","Result Declared",14
247,4,\\N,5,1135,8,21,1,11,17,11,19,1,20,6,19,129,14,14,13,8,185,4,19,122,4,4,13,4,142,8,11,"Field","Result Declared",17
476,8,18,3,2560,15,49,57,10,14,7,29,1,20,6,19,130,11,11,17,8,197,8,19,128,7,7,15,10,206,8,7,"Field","Tie",20
102,2,46,3,393,1,19,58,44,4,7,26,1,20,6,19,127,14,14,6,1,120,9,19,122,9,9,12,4,123,4,7,"Field","Result Declared",7
138,3,23,3,709,2,13,53,10,7,9,27,1,20,6,19,125,6,6,13,3,144,6,19,130,18,18,20,3,183,5,9,"Bat","Result Declared",9
170,3,55,3,731,2,14,53,45,4,2,12,1,20,6,19,123,5,5,10,4,134,7,19,121,3,3,12,6,145,7,2,"Bat","Result Declared",2
287,5,41,3,1474,8,13,3,30,1,9,19,1,20,6,19,123,6,6,8,2,139,5,19,127,13,13,10,2,140,5,1,"Bat","Result Declared",9
289,5,43,3,1475,12,14,14,11,14,4,31,1,20,6,19,123,5,5,16,1,141,6,15,93,9,9,18,3,144,4,14,"Bat","Result Declared",4
311,5,65,3,1490,9,19,62,53,11,9,39,1,20,6,19,117,4,4,10,3,108,10,19,128,14,14,12,3,140,7,11,"Field","Result Declared",9
312,5,66,3,1491,10,7,15,45,7,1,14,1,20,6,16,101,5,5,18,2,123,4,19,121,4,4,9,6,120,7,7,"Field","Result Declared",7
325,6,3,3,1814,13,55,10,11,19,12,28,1,20,6,19,122,3,3,12,1,126,6,18,115,2,2,6,2,104,10,12,"Field","Result Declared",19
348,6,26,3,1829,12,19,1,54,9,1,11,1,20,6,19,121,4,4,10,4,119,9,19,116,6,6,9,4,124,6,9,"Bat","Result Declared",1
366,6,44,3,1840,8,14,58,59,4,9,32,1,20,6,17,108,2,2,13,4,137,3,19,125,7,7,14,4,136,7,9,"Bat","Result Declared",4
378,6,56,3,1848,1,18,1,31,12,9,36,1,20,6,19,120,4,4,4,4,106,10,19,124,11,11,15,2,152,6,9,"Bat","Result Declared",9
436,7,38,3,2217,7,14,39,61,17,4,18,1,20,6,19,125,9,9,11,12,186,4,19,124,10,10,11,8,170,7,4,"Field","Result Declared",17
