"PLAYER_ID","PLAYER_NAME","TEAM_NAME","SEASON_NAME"
1,"A Ashish Reddy","Sunrisers Hyderabad","2015"
2,"A Ashish Reddy","Sunrisers Hyderabad","2013"
3,"A Ashish Reddy","Sunrisers Hyderabad","2016"
4,"A Ashish Reddy","Deccan Chargers","2012"
5,"A Badoni","Lucknow Super Giants","2024"
6,"A Badoni","Lucknow Super Giants","2022"
7,"A Badoni","Lucknow Super Giants","2023"
8,"A Chandila","Rajasthan Royals","2013"
9,"A Chandila","Rajasthan Royals","2012"
10,"A Chopra","Kolkata Knight Riders","2009"
11,"A Chopra","Kolkata Knight Riders","2007"
12,"A Choudhary","Royal Challengers Bangalore","2017"
13,"A Dananjaya","Mumbai Indians","2018"
14,"A Flintoff","Chennai Super Kings","2009"
15,"A Kamboj","Mumbai Indians","2024"
16,"A Kumble","Royal Challengers Bangalore","2007"
17,"A Kumble","Royal Challengers Bangalore","2009"
18,"A Manohar","Gujarat Titans","2023"
19,"A Manohar","Gujarat Titans","2022"
20,"A Manohar","Gujarat Titans","2024"
21,"A Mishra","Delhi Daredevils","2007"
22,"A Mishra","Delhi Capitals","2020"
23,"A Mishra","Delhi Capitals","2021"
24,"A Mishra","Sunrisers Hyderabad","2013"
25,"A Mishra","Deccan Chargers","2012"
26,"A Mishra","Lucknow Super Giants","2023"
27,"A Mishra","Delhi Daredevils","2009"
28,"A Mishra","Lucknow Super Giants","2024"
29,"A Mishra","Delhi Daredevils","2016"
30,"A Mishra","Delhi Daredevils","2015"
31,"A Mishra","Deccan Chargers","2011"
32,"A Mishra","Delhi Capitals","2019"
33,"A Mishra","Sunrisers Hyderabad","2014"
34,"A Mishra","Delhi Daredevils","2018"
35,"A Mishra","Delhi Daredevils","2017"
36,"A Mithun","Royal Challengers Bangalore","2013"
37,"A Mithun","Royal Challengers Bangalore","2011"
38,"A Mithun","Royal Challengers Bangalore","2012"
39,"A Mithun","Royal Challengers Bangalore","2009"
40,"A Mukund","Royal Challengers Bangalore","2013"
41,"A Mukund","Chennai Super Kings","2007"
42,"A Nehra","Delhi Daredevils","2009"
43,"A Nehra","Sunrisers Hyderabad","2016"
44,"A Nehra","Sunrisers Hyderabad","2017"
45,"A Nehra","Delhi Daredevils","2013"
46,"A Nehra","Chennai Super Kings","2015"
47,"A Nehra","Pune Warriors","2012"
48,"A Nehra","Chennai Super Kings","2014"
49,"A Nehra","Mumbai Indians","2007"
50,"A Nel","Mumbai Indians","2007"
51,"A Nortje","Delhi Capitals","2022"
52,"A Nortje","Delhi Capitals","2024"
53,"A Nortje","Delhi Capitals","2021"
54,"A Nortje","Delhi Capitals","2023"
55,"A Nortje","Delhi Capitals","2020"
56,"A Raghuvanshi","Kolkata Knight Riders","2024"
57,"A Singh","Rajasthan Royals","2009"
58,"A Singh","Rajasthan Royals","2011"
59,"A Singh","Rajasthan Royals","2012"
60,"A Symonds","Mumbai Indians","2011"
61,"A Symonds","Deccan Chargers","2009"
62,"A Symonds","Deccan Chargers","2007"
63,"A Tomar","Kolkata Knight Riders","2022"
64,"A Uniyal","Rajasthan Royals","2009"
65,"A Zampa","Rising Pune Supergiants","2016"
66,"A Zampa","Rajasthan Royals","2023"
67,"A Zampa","Rising Pune Supergiant","2017"
68,"A Zampa","Royal Challengers Bangalore","2020"
69,"AA Bilakhia","Deccan Chargers","2009"
70,"AA Chavan","Rajasthan Royals","2012"
71,"AA Chavan","Rajasthan Royals","2011"
72,"AA Chavan","Rajasthan Royals","2013"
73,"AA Jhunjhunwala","Pune Warriors","2011"
74,"AA Jhunjhunwala","Rajasthan Royals","2009"
75,"AA Jhunjhunwala","Deccan Chargers","2012"
76,"AA Kazi","Royal Challengers Bangalore","2011"
77,"AA Kulkarni","Lucknow Super Giants","2024"
78,"AA Noffke","Royal Challengers Bangalore","2007"
79,"AB Agarkar","Delhi Daredevils","2012"
80,"AB Agarkar","Delhi Daredevils","2011"
81,"AB Agarkar","Kolkata Knight Riders","2007"
82,"AB Agarkar","Kolkata Knight Riders","2009"
83,"AB Agarkar","Delhi Daredevils","2013"
84,"AB Barath","Kings XI Punjab","2009"
85,"AB Dinda","Rising Pune Supergiant","2017"
86,"AB Dinda","Rising Pune Supergiants","2016"
87,"AB Dinda","Kolkata Knight Riders","2007"
88,"AB Dinda","Royal Challengers Bangalore","2014"
89,"AB Dinda","Pune Warriors","2012"
90,"AB Dinda","Pune Warriors","2013"
91,"AB Dinda","Kolkata Knight Riders","2009"
92,"AB Dinda","Delhi Daredevils","2011"
93,"AB Dinda","Royal Challengers Bangalore","2015"
94,"AB McDonald","Royal Challengers Bangalore","2012"
95,"AB McDonald","Delhi Daredevils","2011"
96,"AB McDonald","Royal Challengers Bangalore","2013"
97,"AB McDonald","Delhi Daredevils","2009"
98,"AB de Villiers","Royal Challengers Bangalore","2017"
99,"AB de Villiers","Royal Challengers Bangalore","2011"
100,"AB de Villiers","Royal Challengers Bangalore","2021"
101,"AB de Villiers","Royal Challengers Bangalore","2019"
102,"AB de Villiers","Delhi Daredevils","2009"
103,"AB de Villiers","Delhi Daredevils","2007"
104,"AB de Villiers","Royal Challengers Bangalore","2018"
105,"AB de Villiers","Royal Challengers Bangalore","2020"
106,"AB de Villiers","Royal Challengers Bangalore","2013"
107,"AB de Villiers","Royal Challengers Bangalore","2014"
108,"AB de Villiers","Royal Challengers Bangalore","2012"
109,"AB de Villiers","Royal Challengers Bangalore","2015"
110,"AB de Villiers","Royal Challengers Bangalore","2016"
111,"AC Blizzard","Mumbai Indians","2012"
112,"AC Blizzard","Mumbai Indians","2011"
113,"AC Gilchrist","Kings XI Punjab","2013"
114,"AC Gilchrist","Deccan Chargers","2007"
115,"AC Gilchrist","Deccan Chargers","2009"
116,"AC Gilchrist","Kings XI Punjab","2012"
117,"AC Gilchrist","Kings XI Punjab","2011"
118,"AC Thomas","Pune Warriors","2012"
119,"AC Thomas","Pune Warriors","2011"
120,"AC Voges","Rajasthan Royals","2009"
121,"AD Hales","Sunrisers Hyderabad","2018"
122,"AD Mascarenhas","Kings XI Punjab","2013"
123,"AD Mascarenhas","Kings XI Punjab","2012"
124,"AD Mascarenhas","Rajasthan Royals","2007"
125,"AD Mascarenhas","Rajasthan Royals","2009"
126,"AD Mathews","Kolkata Knight Riders","2009"
127,"AD Mathews","Pune Warriors","2013"
128,"AD Mathews","Pune Warriors","2012"
129,"AD Mathews","Delhi Daredevils","2017"
130,"AD Mathews","Delhi Daredevils","2015"
131,"AD Nath","Royal Challengers Bangalore","2019"
132,"AD Nath","Kings XI Punjab","2018"
133,"AD Nath","Gujarat Lions","2016"
134,"AD Nath","Gujarat Lions","2017"
135,"AD Russell","Delhi Daredevils","2012"
136,"AD Russell","Kolkata Knight Riders","2018"
137,"AD Russell","Delhi Daredevils","2013"
138,"AD Russell","Kolkata Knight Riders","2020"
139,"AD Russell","Kolkata Knight Riders","2014"
140,"AD Russell","Kolkata Knight Riders","2022"
141,"AD Russell","Kolkata Knight Riders","2016"
142,"AD Russell","Kolkata Knight Riders","2015"
143,"AD Russell","Kolkata Knight Riders","2019"
144,"AD Russell","Kolkata Knight Riders","2021"
145,"AD Russell","Kolkata Knight Riders","2024"
146,"AD Russell","Kolkata Knight Riders","2023"
147,"AF Milne","Royal Challengers Bangalore","2016"
148,"AF Milne","Chennai Super Kings","2022"
149,"AF Milne","Royal Challengers Bangalore","2017"
150,"AF Milne","Mumbai Indians","2021"
151,"AG Murtaza","Mumbai Indians","2009"
152,"AG Murtaza","Mumbai Indians","2011"
153,"AG Murtaza","Pune Warriors","2012"
154,"AG Murtaza","Pune Warriors","2013"
155,"AG Paunikar","Rajasthan Royals","2009"
156,"AG Paunikar","Rajasthan Royals","2011"
157,"AJ Finch","Pune Warriors","2013"
158,"AJ Finch","Gujarat Lions","2016"
159,"AJ Finch","Royal Challengers Bangalore","2020"
160,"AJ Finch","Delhi Daredevils","2012"
161,"AJ Finch","Kings XI Punjab","2018"
162,"AJ Finch","Gujarat Lions","2017"
163,"AJ Finch","Delhi Daredevils","2011"
164,"AJ Finch","Rajasthan Royals","2009"
165,"AJ Finch","Kolkata Knight Riders","2022"
166,"AJ Finch","Mumbai Indians","2015"
167,"AJ Finch","Sunrisers Hyderabad","2014"
168,"AJ Hosein","Sunrisers Hyderabad","2023"
169,"AJ Turner","Lucknow Super Giants","2024"
170,"AJ Turner","Rajasthan Royals","2019"
171,"AJ Tye","Gujarat Lions","2017"
172,"AJ Tye","Kings XI Punjab","2018"
173,"AJ Tye","Kings XI Punjab","2019"
174,"AJ Tye","Rajasthan Royals","2020"
175,"AJ Tye","Lucknow Super Giants","2022"
176,"AK Markram","Sunrisers Hyderabad","2024"
177,"AK Markram","Punjab Kings","2021"
178,"AK Markram","Sunrisers Hyderabad","2022"
179,"AK Markram","Sunrisers Hyderabad","2023"
180,"AL Menaria","Rajasthan Royals","2011"
181,"AL Menaria","Rajasthan Royals","2013"
182,"AL Menaria","Rajasthan Royals","2012"
183,"AM Nayar","Mumbai Indians","2009"
184,"AM Nayar","Pune Warriors","2013"
185,"AM Nayar","Rajasthan Royals","2014"
186,"AM Nayar","Kings XI Punjab","2012"
187,"AM Nayar","Mumbai Indians","2007"
188,"AM Nayar","Kings XI Punjab","2011"
189,"AM Rahane","Rising Pune Supergiant","2017"
190,"AM Rahane","Rajasthan Royals","2011"
191,"AM Rahane","Delhi Capitals","2021"
192,"AM Rahane","Delhi Capitals","2020"
193,"AM Rahane","Mumbai Indians","2009"
194,"AM Rahane","Rajasthan Royals","2013"
195,"AM Rahane","Rajasthan Royals","2019"
196,"AM Rahane","Rajasthan Royals","2014"
197,"AM Rahane","Rajasthan Royals","2012"
198,"AM Rahane","Rajasthan Royals","2015"
199,"AM Rahane","Rajasthan Royals","2018"
200,"AM Rahane","Rising Pune Supergiants","2016"
201,"AM Rahane","Kolkata Knight Riders","2022"
202,"AM Rahane","Chennai Super Kings","2023"
203,"AM Rahane","Mumbai Indians","2007"
204,"AM Rahane","Chennai Super Kings","2024"
205,"AM Salvi","Delhi Daredevils","2011"
206,"AM Salvi","Delhi Daredevils","2009"
207,"AN Ahmed","Mumbai Indians","2009"
208,"AN Ahmed","Royal Challengers Bangalore","2015"
209,"AN Ahmed","Mumbai Indians","2011"
210,"AN Ahmed","Mumbai Indians","2013"
211,"AN Ahmed","Mumbai Indians","2012"
212,"AN Ahmed","Royal Challengers Bangalore","2014"
213,"AN Ghosh","Kolkata Knight Riders","2009"
214,"AP Dole","Rajasthan Royals","2009"
215,"AP Majumdar","Pune Warriors","2012"
216,"AP Tare","Delhi Daredevils","2017"
217,"AP Tare","Mumbai Indians","2015"
218,"AP Tare","Mumbai Indians","2009"
219,"AP Tare","Mumbai Indians","2014"
220,"AP Tare","Sunrisers Hyderabad","2016"
221,"AP Tare","Mumbai Indians","2013"
222,"AR Bawne","Delhi Daredevils","2017"
223,"AR Patel","Kings XI Punjab","2015"
224,"AR Patel","Kings XI Punjab","2017"
225,"AR Patel","Delhi Capitals","2023"
226,"AR Patel","Kings XI Punjab","2018"
227,"AR Patel","Kings XI Punjab","2016"
228,"AR Patel","Delhi Capitals","2021"
