"VENUE_ID","VENUE_NAME","CITY","STATE","COUNTRY","CONTINENT","END_NAMES","CAPACITY","PITCH","FLOOD_LIGHT","ESTABLISHED_DT","PLAYING_AREA","OTHER_SPORTS","CURATOR","LATTITUDE","LONGITUDE"
1,"Arun Jaitley Stadium","Delhi","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
2,"Barabati Stadium","Cuttack","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
3,"Barsapara Cricket Stadium","Guwahati","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
4,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium","Lucknow","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
5,"Brabourne Stadium","Mumbai","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
6,"Buffalo Park","East London","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
7,"De Beers Diamond Oval","Kimberley","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
8,"Dr DY Patil Sports Academy","Navi Mumbai","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
9,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
10,"Dubai International Cricket Stadium","Dubai","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
11,"Eden Gardens","Kolkata","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
12,"Feroz Shah Kotla","Delhi","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
13,"Green Park","Kanpur","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
14,"Himachal Pradesh Cricket Association Stadium","Dharamsala","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
15,"Holkar Cricket Stadium","Indore","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
16,"JSCA International Stadium Complex","Ranchi","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
17,"Kingsmead","Durban","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
18,"M Chinnaswamy Stadium","Bengaluru","\N","\N","\N","\N",\\N,"\N",\\N,"\N","\N","\N","\N",\\N,\\N
